source,target,value
Ashley Janke,Michael Senise,1.00
Ashley Janke,Polly Morris,1.00
Ashley Janke,Pegi Christiansen,1.00
Ashley Janke,Adam Carr,1.00
Ashley Janke,Wes Tank,1.00
Ashley Janke,Brad Fiore,1.00
Ashley Janke,James Pederson,1.00
Brad Anthony Bernard,Terry Murphy,1.00
Brittany Miller,Terry Murphy,1.00
Contessa Cole,Ko-Thi Dance Company,1.00
Contessa Cole,Hansberry-Sands Theatre Company,1.00
Contessa Cole,African American Children's Theatre,1.00
Contessa Cole,PECK School of Arts (UWM),1.00
Contessa Cole,MIAD,1.00
Contessa Cole,The Art Institute of Wisconsin,1.00
Dan Vaughn,Terry Murphy,1.00
Darcy Drexler,David Anderson,1.00
Darcy Drexler,Scott Cook,1.00
Darcy Drexler,Michael Ferraro,1.00
Darcy Drexler,Katherine Brooks,1.00
Darcy Drexler,Jamie Hofman,1.00
Darcy Drexler,Peter Vickery,1.00
David HB Drake,Sky Schultz,1.00
David HB Drake,Michael Drake,1.00
David HB Drake,Sandy Lewis,1.00
David HB Drake,Diane Bloom,1.00
David HB Drake,Linda Sandersen,1.00
David HB Drake,Poul Sandersen,1.00
David Ravel,Matt Wild,1.00
David Ravel,Blythe Meier,1.00
David Ravel,Milan Zori (Dwellephant),1.00
David Ravel,Polly Morris,1.00
David Ravel,Tarik moody,1.00
David Ravel,Marcus Ducet,1.00
David Ravel,John Mueller,1.00
David Ravel,John Reipenhoff,1.00
David Ravel,Nicholas frank,1.00
David Ravel,Simone Ferro,1.00
David Ravel,Brent Gohde,1.00
Dezarae Jones Hartwig,Lincoln Center of the Arts Middle School,1.00
Dezarae Jones Hartwig,Bay View Community Center,1.00
Dezarae Jones Hartwig,Milwaukee Christian Center,1.00
Dezarae Jones Hartwig,Milwaukee Youth Theatre,1.00
Dezarae Jones Hartwig,Bucketworks,1.00
Emilia Layden,Tyanna Buie,1.00
Emilia Layden,William E. Carpenter,1.00
Emilia Layden,Evan Gruzis,1.00
Emilia Layden,Jon Horvath,1.00
Emilia Layden,Mark Mulhern,1.00
Emilia Layden,Jean Roberts Guequierre,1.00
Emilia Layden,Cassandra Smith,1.00
Emilia Layden,Jessica Steeber,1.00
Emilia Layden,Jason S. Yi,1.00
Gracie Lee,Beth Lewinski,
Gracie Lee,Vince Figeuroa,
Gracie Lee,Anna Wolfe,
Gracie Lee,Becca Segal,
Gracie Lee,Rob Maas,
Gracie Lee,Noah Silverstein,
Gracie Lee,Jake Shaw,
Gracie Lee,Matt Kemple,
Gracie Lee,Christopher Elst,
Gracie Lee,Lee Rowley,
Gracie Lee,Linsey Gagliano,
Gracie Lee,Libby Amato,
Gracie Lee,Katie Merrimen,
Gracie Lee,Maggie McGwin,
Gracie Lee,Kelley Doherty,
Gracie Lee,Margaret Casey,
Gracie Lee,Joan End,
Gracie Lee,Eamonn O'Neil,
Gracie Lee,James Gallagher,
Gracie Lee,Chris Fleiler,
Gracie Lee,Jane Fleiler,
Gracie Lee,Michael Cotey,
Gracie Lee,Robert Spencer,
Gracie Lee,Shelby Kashian,
Gracie Lee,Ellie Cotey,
Jill Anna Ponasik,Ami Bouterse,
Jill Anna Ponasik,Matthew Ecclestone,
Jill Anna Ponasik,Susan Wiedmeyer,
Jill Anna Ponasik,Kerry Hart,
Jill Anna Ponasik,Adam Baus,
Jill Anna Ponasik,Catie O’Donnell,
Jill Anna Ponasik,Heidi Boyd,
Jill Anna Ponasik,Joel Kenneth Boyd,
Jill Anna Ponasik,Colleen Brooks,
Jill Anna Ponasik,John-Wesley Brown,
Jill Anna Ponasik,Jillian Bruss,
Jill Anna Ponasik,Danny Brylow,
Jill Anna Ponasik,Doug Clemons,
Jill Anna Ponasik,Henry Parker Hammond,
Jill Anna Ponasik,Joey Kerner,
Jill Anna Ponasik,Ruth Brown,
Jill Anna Ponasik,Jon Lovas,
Jill Anna Ponasik,Becky Schulz,
Jill Anna Ponasik,Andy Wilkowske,
Jill Anna Ponasik,John Glover,
Jill Anna Ponasik,Ruben Piirainen,
Jill Anna Ponasik,Genghis Barbie,
Jill Anna Ponasik,Kelley Rourke,
Jill Anna Ponasik,Jason Fassl,
Jill Anna Ponasik,Kamran Ince,
Jill Anna Ponasik,Leigh Akin,
Jill Anna Ponasik,Niffer Clarke,
Jill Anna Ponasik,Jennifer Hansen Gomez,
Jill Anna Ponasik,Allison Hull,
Jill Anna Ponasik,Richard Hynson,
Jill Anna Ponasik,Dani Kuepper,
Jill Anna Ponasik,Diane Lane,
Jill Anna Ponasik,Brian Myers,
Jill Anna Ponasik,Jason Powell,
Jill Anna Ponasik,Timothy Rebers,
Jill Anna Ponasik,Maggie Rebers,
Jill Anna Ponasik,Nathan Wesselowski,
Jill Anna Ponasik,James Zager,
Jill Anna Ponasik,Julianne Frey,
Jill Anna Ponasik,Teresa Gracyalny,
Jon Brown,Terry Murphy,1.00
Joyce Tang Boyland,Richard Hynson,1.00
Joyce Tang Boyland,Kathryn Moreadith,1.00
Joyce Tang Boyland,Daniel Matre,1.00
Joyce Tang Boyland,Joel Xue,1.00
Joyce Tang Boyland,Anne Basting,1.00
Joyce Tang Boyland,Dani Kuepper,1.00
Joyce Tang Boyland,Brad Lichtenstein,1.00
Karin Wolf,Teri Sullivan,1.00
Karin Wolf,Pegi Christiansen,1.00
Karin Wolf,Amy Mangrich ,1.00
Karin Wolf,Sara Daleidin ,1.00
Karin Wolf,Eddee Daniels,1.00
Karin Wolf,Roy Staab ,1.00
Karin Wolf,Deb Brehmer ,1.00
Karin Wolf,Mary Louise Schumacher ,1.00
Karin Wolf,Josie Osborne ,1.00
Karin Wolf,Graeme Reid ,1.00
Karin Wolf,Craig Grabhorn,1.00
Karin Wolf,Nina Bednarski ,1.00
Karin Wolf,Mike Brenner ,1.00
Karin Wolf,Niki Johnson ,1.00
Karin Wolf,Alfrieda Abbe ,1.00
Karin Wolf,Paul Calhoun ,1.00
Karin Wolf,Frank Ford ,1.00
Karin Wolf,Jonathan Winkle ,1.00
Karin Wolf,Claire Odishoo ,1.00
Karin Wolf,Dale Shideler,1.00
Karin Wolf,Dean Jensen ,1.00
Karin Wolf,Jamal Currie,1.00
Karin Wolf,Dara Larsen,1.00
Karin Wolf,Natanya Blank,1.00
Karin Wolf,Mike Frederickson ,1.00
Karin Wolf,Mary Osmundsen ,1.00
Karin Wolf,John Kowalcyk,1.00
Karin Wolf,Beth Sahagian-Allsopp,1.00
Karin Wolf,Ed Sahagian-Allsopp,1.00
Karin Wolf,Elliot Powell,1.00
Karin Wolf,Katie Martin-Meurer,1.00
Karin Wolf,Jenny Plevin,1.00
Karin Wolf,Fred Bell,1.00
Karin Wolf,Jesus Ali,1.00
Karin Wolf,Gary Tuma,1.00
Karin Wolf,Reginald Baylor,1.00
Karin Wolf,Bridget Griffith-Evans,1.00
Karin Wolf,Dean Jensen,1.00
Karin Wolf,Faythe Levine,1.00
Karin Wolf,Roxane Mayeur ,1.00
Karin Wolf,Carl Bogner,1.00
Karin Wolf,Jonathan Jackson,1.00
Karin Wolf,Kim Abler,1.00
Kasia Drake Hames,Terry Murphy,1.00
Katie Rose,Terry Murphy,1.00
Kurt Hartwig,Pegi Christiansen,1
Lynne Shumow,Pegi Christiansen,1
Mary Overman,Gary Tuma,
Matt Kemple,Kristelle M. Ulrich ,1.00
Melissa DeBuck,Terry Murphy,1.00
Natalie Akin,Terry Murphy,1.00
Nicole Loesser,Terry Murphy,1.00
Paul Druecke,Pegi Christiansen,1
Pegi Christiansen,Sheri Urban,1
Pegi Christiansen,Mark Lawson,
Pegi Christiansen,Melissa Musante,
Pegi Christiansen,Lynn Lucius,
Pegi Christiansen,Karen Goeschko,
Pegi Christiansen,Gary Tuma,
Pegi Christiansen,James Carlson,
Pegi Christiansen,Dara Larson,
Pegi Christiansen,Karin Wolf,
Pegi Christiansen,Neil Gasparka,
Pegi Christiansen,Steve Brondino,
Pegi Christiansen,Sarah Luther,
Pegi Christiansen,Bill Zubeck,
Pegi Christiansen,Gary Gresl,
Pegi Christiansen,Jessica Poor,
Pegi Christiansen,James Steeno,
Pegi Christiansen,Jamie Bilgo,
Pegi Christiansen,Michael Davidson,
Pegi Christiansen,Shelby Keefe,
Pegi Christiansen,Jim Hemple,
Pegi Christiansen,Melissa Dorn Richards,
Pegi Christiansen,Susan Heeley,
Philip Atilano,Terry Murphy,1.00
Reanna Ottoson,Terry Murphy,1.00
Reynaldo Hernandez,Terry Murphy,1.00
Richard Hynson,Jill Anna Ponasik,1.00
Sara Daleiden,Pegi Christiansen,1
Susan Heeley,Ann Powell,1.00
Susan Heeley,Shelby Keefe,1.00
Susan Heeley,James Steeno,1.00
Susan Heeley,Thea Kovac,1.00
Susan Heeley,Fred Bell,1.00
Tia Richardson,Terry Murphy,1.00
Gary Tuma,Jenny Plevin,
Gary Tuma,Meryldine Domenz,
Gary Tuma,Eliseo Carmona,
Gary Tuma,Andrea Guzzetta,
Gary Tuma,Jose Alfredo Chavez,
Gary Tuma,Diego Heredia,
Gary Tuma,Ben Tyjeski,
Gary Tuma,Marina Lee,
Gary Tuma,Melanie Mendez,
Gary Tuma,Francisco Mora,
Gary Tuma,Aaron Bergtrom,
Gary Tuma,Jason Spottek,
Gary Tuma,Cecilio Negron,
Gary Tuma,Julio Pabon,
Gary Tuma,Souljah Bradley,
Gary Tuma,Miriam Levie,
Gary Tuma,Fonde Bridges,
Gary Tuma,Lee Palmer,
